Wait_for_Oki_5V_VCC_going_high
Oki_5V_VCC_is_high
ListenerCounter_0=0 Heater[mV]=0 UpperCenter=0 Lower=0 UpperSide=0 Motor=0 Backward=1 Opto=1 Triac1=1 Triac2=1
START ../src/OkiFuserSimulation.cpp
Version 1.0 from Apr 21 2026
Start_simulating_Fuser_Lower_Thermistor=0_mV
Set_opto_interrupter_output_after_startup
Set_4_thermistor_values_according_to_heating_Triac_signals
SimulationCounter_0=0 Heater[mV]=221 UpperCenter=217 Lower=143 UpperSide=221 Motor=0 Backward=1 Opto=0 Triac1=1 Triac2=1
160 1529 2010 1580 2250 0 0 600 800 1000
192 1529 2010 1580 2250 400 0 600 0 1000
224 1529 2010 1580 2250 0 0 600 0 1000
256 1536 2018 1587 2259 400 0 600 0 1000
288 1536 2018 1587 2259 0 0 600 0 1000
0 1529 2010 1580 2250 0 0 600 0 1000
32 1536 2018 1587 2259 400 0 600 0 1000
64 1529 2010 1580 2250 0 0 600 0 1000
96 1529 2010 1580 2250 400 0 600 0 1000
128 1536 2018 1587 2259 0 0 600 0 1000
160 1536 2018 1587 2259 400 0 600 0 1000
192 1529 2010 1580 2250 400 0 600 0 1000
224 1529 2010 1580 2250 400 0 600 0 1000
256 1529 2010 1580 2250 0 0 600 0 1000
288 1529 2010 1580 2250 400 0 600 0 1000
SimulationCounter_200=0 Heater[mV]=1529 UpperCenter=2010 Lower=1580 UpperSide=2250 Motor=0 Backward=0 Opto=1 Triac1=0 Triac2=1
32 1529 2010 1580 2250 0 0 600 0 1000
64 1536 2018 1587 2259 400 0 600 0 1000
96 1529 2010 1580 2250 400 0 600 0 1000
128 1536 2018 1587 2259 400 0 600 0 1000
160 1529 2010 1580 2250 0 0 600 800 1000
192 1529 2010 1580 2250 400 0 600 800 1000
224 1536 2018 1587 2259 0 0 600 800 1000
256 1529 2010 1580 2250 400 0 600 800 1000
288 1529 2010 1580 2250 400 0 600 800 1000
0 1529 2010 1580 2250 0 0 600 800 1000
32 1529 2010 1580 2250 400 0 600 800 1000
64 1529 2010 1580 2250 0 0 600 800 1000
96 1536 2018 1587 2259 400 0 600 800 1000
128 1529 2010 1580 2250 0 0 600 0 1000
160 1536 2018 1587 2259 0 0 600 0 1000
192 1529 2010 1580 2250 0 0 600 0 1000
224 1536 2018 1587 2259 400 0 600 0 1000
256 1529 2010 1580 2250 0 0 600 0 1000
288 1529 2010 1580 2250 400 0 600 0 1000
0 1529 2010 1580 2250 400 0 600 0 1000
32 1529 2010 1580 2250 0 0 600 0 1000
64 1536 2018 1587 2259 0 0 600 0 1000
96 1529 2010 1580 2250 0 0 600 0 1000
128 1529 2010 1580 2250 400 0 600 0 1000
160 1529 2010 1580 2250 0 0 600 0 1000
192 1536 2018 1587 2259 400 0 600 0 1000
224 1529 2010 1580 2250 0 0 600 0 1000
256 1536 2018 1587 2259 0 0 600 0 1000
288 1536 2018 1587 2259 400 0 600 0 1000
0 1529 2010 1580 2250 0 0 600 0 1000
32 1536 2018 1587 2259 400 0 600 0 1000
64 1536 2018 1587 2259 0 0 600 800 1000
96 1536 2018 1587 2259 400 0 600 800 1000
128 1529 2010 1580 2250 400 0 600 800 1000
160 1529 2010 1580 2250 400 0 600 800 1000
192 1529 2010 1580 2250 0 0 600 800 1000
224 1529 2010 1580 2250 400 0 600 800 1000
256 1529 2010 1580 2250 0 0 600 800 1000
288 1529 2010 1580 2250 0 0 600 800 1000
0 1529 2010 1580 2250 400 0 600 800 1000
32 1529 2010 1580 2250 400 0 600 0 1000
64 1529 2010 1580 2250 400 0 600 0 1000
96 1536 2018 1587 2259 0 0 600 0 1000
128 1529 2010 1580 2250 400 0 600 0 1000
160 1529 2010 1580 2250 0 0 600 0 1000
192 1529 2010 1580 2250 400 0 600 0 1000
224 1536 2018 1587 2259 400 0 600 0 1000
256 1529 2010 1580 2250 0 0 600 0 1000
288 1529 2010 1580 2250 400 0 600 0 1000
0 1536 2018 1587 2259 0 0 600 0 1000
32 1529 2010 1580 2250 400 0 600 0 1000
64 1536 2018 1587 2259 0 0 600 0 1000
96 1529 2010 1580 2250 0 0 600 0 1000
128 1536 2018 1587 2259 0 0 600 0 1000
160 1529 2010 1580 2250 400 0 600 0 1000
192 1536 2018 1587 2259 0 0 600 0 1000
224 1536 2018 1587 2259 400 0 600 0 1000
256 1529 2010 1580 2250 400 0 600 0 1000
288 1529 2010 1580 2250 400 0 600 800 1000
0 1529 2010 1580 2250 0 0 600 800 1000
32 1529 2010 1580 2250 0 0 600 800 1000
64 1529 2010 1580 2250 400 0 600 800 1000
96 1536 2018 1587 2259 0 0 600 800 1000
128 1529 2010 1580 2250 400 0 600 800 1000
160 1536 2018 1587 2259 0 0 600 800 1000
192 1529 2010 1580 2250 0 0 600 800 1000
224 1529 2010 1580 2250 400 0 600 800 1000
256 1529 2010 1580 2250 0 0 600 800 1000
288 1529 2010 1580 2250 400 0 600 800 1000
0 1529 2010 1580 2250 0 0 600 800 1000
32 1529 2010 1580 2250 400 0 600 800 1000
64 1529 2010 1580 2250 400 0 600 800 1000
96 1523 2001 1573 2240 400 0 600 800 1000
128 1536 2018 1587 2259 0 0 600 800 1000
160 1536 2018 1587 2259 400 0 600 800 1000
192 1536 2018 1587 2259 0 0 600 800 1000
224 1529 2010 1580 2250 0 0 600 800 1000
256 1529 2010 1580 2250 0 0 600 800 1000
288 1529 2010 1580 2250 400 0 600 800 1000
0 1529 2010 1580 2250 400 0 600 800 1000
32 1529 2010 1580 2250 0 0 600 800 1000
64 1536 2018 1587 2259 400 0 600 800 1000
